"Site","gentrifying","vulnerable","City","geometry"
"LRAR-ALS1",FALSE,FALSE,"lrar",c(-92.3182158264168, 34.7620725536497)
"LRAR-BUR1",FALSE,FALSE,"lrar",c(-92.3277156373646, 34.7952197918812)
"LRAR-BUR2",FALSE,FALSE,"lrar",c(-92.3080896019276, 34.7878957841527)
"LRAR-BUR3",FALSE,FALSE,"lrar",c(-92.3080614218348, 34.8030450481158)
"LRAR-COM1",FALSE,FALSE,"lrar",c(-92.3953970320422, 34.8258737836906)
"LRAR-CON1",FALSE,TRUE,"lrar",c(-92.2334642437341, 34.7623800737845)
"LRAR-COO1",FALSE,FALSE,"lrar",c(-92.3559278152405, 34.7968151657305)
"LRAR-CPL1",TRUE,TRUE,"lrar",c(-92.2569712444847, 34.7473763303199)
"LRAR-DDT1",FALSE,TRUE,"lrar",c(-92.1674198046694, 34.6733041141668)
"LRAR-DDT2",FALSE,FALSE,"lrar",c(-92.1457028259324, 34.6644067996358)
"LRAR-EAS1",TRUE,TRUE,"lrar",c(-92.2424117959358, 34.7434090856437)
"LRAR-EMR1",FALSE,TRUE,"lrar",c(-92.2953353128537, 34.7723124657911)
"LRAR-KNO1",FALSE,FALSE,"lrar",c(-92.3022847153419, 34.7568422956019)
"LRAR-MAU2",FALSE,FALSE,"lrar",c(-92.4320726984952, 34.8292968325782)
"LRAR-MUR1",FALSE,FALSE,"lrar",c(-92.3511933599263, 34.7885840515614)
"LRAR-MUR2",FALSE,FALSE,"lrar",c(-92.3329715838696, 34.7846080150251)
"LRAR-OTT1",FALSE,FALSE,"lrar",c(-92.1638234572541, 34.7335166753006)
"LRAR-PIN1",FALSE,FALSE,"lrar",c(-92.469784927272, 34.8455182740882)
"LRAR-PIN2",FALSE,FALSE,"lrar",c(-92.4511061748904, 34.8433613842316)
"LRAR-REB1",FALSE,FALSE,"lrar",c(-92.3224607282296, 34.7814839994815)
"LRAR-RIC1",FALSE,TRUE,"lrar",c(-92.1983277312235, 34.7167055152199)
"LRAR-RIV1",TRUE,TRUE,"lrar",c(-92.268141056435, 34.7493376550376)
"LRAR-ROS1",FALSE,TRUE,"lrar",c(-92.2012536781516, 34.751983261821)
"LRAR-SHE1",FALSE,TRUE,"lrar",c(-92.251434932836, 34.7579831199584)
"LRAR-TMP1",TRUE,TRUE,"lrar",c(-92.2669455010821, 34.7412146608071)
"LRAR-TRP1",FALSE,FALSE,"lrar",c(-92.4097193118606, 34.8109749936865)
"LRAR-TRP2",FALSE,FALSE,"lrar",c(-92.3914687836248, 34.8143117593814)
"LRAR-TRP3",FALSE,FALSE,"lrar",c(-92.3861097651467, 34.804185191723)
"LRAR-WIL1",FALSE,FALSE,"lrar",c(-92.1402245913049, 34.7002581471948)
